Sample_ID,location,Richness,Evenness
S1,South,0.913,0.25
S2,South,0.902,0.246
S3,North,0.761,0.208
S4,North,0.715,0.195
S5,North,0.675,0.184
S7,South,0.783,0.214
S8,South,0.38,0.104
S10,South,0.878,0.24
S11,North,0.728,0.199
S12,North,0.631,0.172
S13,North,0.616,0.168
S14,North,0.515,0.14
S15,North,0.786,0.214
