Sample_ID,location,Richness,Evenness
S3,West,0.761,0.208
S4,West,0.715,0.195
S5,West,0.675,0.184
S11,East,0.728,0.199
S12,East,0.631,0.172
S13,East,0.616,0.168
S14,East,0.515,0.14
S15,East,0.786,0.214
