Sample,Latitude,Richness,Evenness
S1,55.90931,0.913,0.25
S2,56.05902,0.902,0.246
S3,57.0862,0.761,0.208
S4,57.36131,0.715,0.195
S5,57.30087,0.675,0.184
S7,55.78986,0.783,0.214
S8,56.6649,0.38,0.104
S10,55.39023,0.878,0.24
S11,56.96508,0.728,0.199
S12,57.13603,0.631,0.172
S13,57.07173,0.616,0.168
S14,57.06661,0.515,0.14
S15,57.08411,0.786,0.214
